material,strength,weight_capacity,biodegradability,co2_emission,recyclability,cost,durability,industry,co2_impact_index,cost_efficiency_index,suitability_score,type
Stainless Steel,31.11,17.07,10,226.22,19.03,88.42355,6.19,Smartphone,7.48,8.13,11.29,Stainless Steel
ABS Plastic,341.07,25.73,3,301.76,62.35,192.97738,9.89,Washing Machine,6.39,5.61,72.26,ABS Plastic
Stainless Steel,216.32,1.31,7,177.32,66.64,132.39884999999998,8.78,Washing Machine,8.18,7.07,49.0,Stainless Steel
Low Carbon Steel,150.53,30.96,8,187.88,26.94,88.33194999999999,7.44,Refrigerator,8.02,8.13,34.92,Low Carbon Steel
Carbon Fiber Composite,257.58,22.9,3,318.24,50.18,152.34936000000002,11.33,Electric Vehicle Battery Pack,6.16,6.59,55.15,Carbon Fiber Composite
Carbon Fiber Composite,232.74,9.57,8,270.51,81.01,169.88242000000002,4.01,LED TV,6.84,6.17,52.75,Carbon Fiber Composite
Lithium-ion Battery Material,520.05,24.67,7,406.08,51.13,273.24357999999995,10.95,Refrigerator,4.9,3.67,108.62,Lithium-ion Battery Material
Carbon Fiber Composite,216.96,32.81,5,289.24,80.37,178.56275,7.92,Microwave Oven,6.57,5.96,48.62,Carbon Fiber Composite
Glass,182.75,15.87,10,148.82,19.14,198.88802,8.51,Smartphone,8.58,5.46,41.84,Glass
Copper,196.34,18.85,1,452.65,81.5,102.13789,9.96,LED TV,4.23,7.8,42.86,Copper
ABS Plastic,267.31,32.76,1,490.03,30.16,188.64417,3.93,Air Conditioner,3.7,5.71,55.41,ABS Plastic
Lithium-ion Battery Material,287.73,1.0,10,499.22,42.84,148.36083000000002,6.99,Laptop,3.56,6.68,62.54,Lithium-ion Battery Material
Glass,20.43,18.16,7,154.29,20.35,88.18022,9.72,Washing Machine,8.51,8.14,8.5,Glass
Glass,160.16,18.29,10,397.78,54.84,86.31621,8.89,Microwave Oven,5.02,8.18,37.68,Glass
Polypropylene,99.63,33.95,9,294.18,65.95,94.14187,6.56,Air Conditioner,6.5,7.99,25.9,Polypropylene
ABS Plastic,273.54,6.61,7,629.5,54.97,147.20623,9.53,Refrigerator,1.7,6.71,58.8,ABS Plastic
Carbon Fiber Composite,337.96,40.64,3,232.45,77.51,228.51534,7.51,Tablet,7.39,4.75,72.3,Carbon Fiber Composite
Stainless Steel,261.57,1.0,4,328.9,54.22,146.48323,8.73,Laptop,6.0,6.73,56.34,Stainless Steel
Lithium-ion Battery Material,259.75,8.65,6,278.66,63.21,194.055,11.03,Washing Machine,6.72,5.58,56.99,Lithium-ion Battery Material
ABS Plastic,221.61,17.39,1,50.0,59.8,159.17221,9.5,Washing Machine,10.0,6.42,48.42,ABS Plastic
Stainless Steel,545.89,19.1,5,185.64,47.13,308.14381,6.48,LED TV,8.06,2.83,113.7,Stainless Steel
Lithium-ion Battery Material,29.66,14.93,3,320.26,23.09,72.00598,7.37,LED TV,6.13,8.53,8.75,Lithium-ion Battery Material
Low Carbon Steel,549.16,1.31,3,211.3,32.27,356.3706,9.19,Refrigerator,7.69,1.66,113.24,Low Carbon Steel
Aluminum Alloy,259.82,33.44,9,69.09,39.17,182.23222,5.85,Air Conditioner,9.73,5.87,57.79,Aluminum Alloy
Glass,288.6,13.76,1,350.66,91.34,177.18575,6.91,Laptop,5.69,5.99,61.9,Glass
Copper,335.47,28.33,4,357.35,47.11,239.85545,8.9,Air Conditioner,5.6,4.48,70.83,Copper
Aluminum Alloy,58.27,37.78,1,467.21,87.0,37.055420000000005,8.4,Hair Dryer,4.02,9.37,15.37,Aluminum Alloy
Lithium-ion Battery Material,311.23,18.91,3,61.7,58.69,162.11063,4.25,Electric Vehicle Battery Pack,9.83,6.35,66.87,Lithium-ion Battery Material
Stainless Steel,254.33,28.91,5,372.11,95.27,187.78633,8.51,LED TV,5.38,5.73,56.3,Stainless Steel
Copper,134.02,30.54,4,318.64,70.54,95.44438,9.87,Tablet,6.15,7.96,31.35,Copper
Lithium-ion Battery Material,200.69,26.34,1,310.08,30.32,115.74675,6.06,Microwave Oven,6.27,7.47,42.6,Lithium-ion Battery Material
Aluminum Alloy,269.27,6.25,6,331.62,19.46,207.62109,6.54,Hair Dryer,5.97,5.25,57.43,Aluminum Alloy
Polypropylene,71.81,28.21,1,383.08,68.51,107.99705,10.03,LED TV,5.23,7.66,17.76,Polypropylene
Low Carbon Steel,109.59,36.62,7,326.87,43.24,78.39104,6.26,Smartphone,6.03,8.37,26.52,Low Carbon Steel
Polypropylene,10.0,42.01,2,277.18,5.0,67.65393,7.0,Laptop,6.75,8.63,4.1,Polypropylene
ABS Plastic,130.71,42.87,3,277.97,27.01,73.99312,3.56,Washing Machine,6.73,8.48,29.2,ABS Plastic
Stainless Steel,245.19,13.74,6,346.31,52.59,204.73969,11.84,Electric Vehicle Battery Pack,5.75,5.32,53.57,Stainless Steel
Polypropylene,309.35,48.74,8,89.09,21.01,208.70169,5.11,Refrigerator,9.44,5.23,66.79,Polypropylene
Silicon,229.99,1.0,5,369.12,53.38,172.78962,10.1,Electric Vehicle Battery Pack,5.43,6.09,50.19,Silicon
Silicon,293.97,21.6,6,328.94,76.07,172.83109000000002,8.56,Hair Dryer,6.0,6.09,64.08,Silicon
Silicon,240.9,46.19,3,309.53,23.79,204.38392,5.24,Refrigerator,6.28,5.33,51.05,Silicon
Stainless Steel,394.05,1.0,3,63.1,58.9,275.79121000000004,7.06,Smartphone,9.81,3.61,83.44,Stainless Steel
Carbon Fiber Composite,336.27,34.22,9,376.45,61.64,198.76926,9.62,Refrigerator,5.32,5.47,72.87,Carbon Fiber Composite
Aluminum Alloy,146.63,24.64,7,175.63,42.42,92.61408,5.98,Microwave Oven,8.2,8.03,34.34,Aluminum Alloy
Silicon,205.54,2.32,10,180.54,46.54,172.07644999999997,9.32,Air Conditioner,8.13,6.11,47.13,Silicon
Copper,206.21,11.78,2,120.89,74.76,207.60658000000004,5.44,Electric Vehicle Battery Pack,8.98,5.25,45.88,Copper
Polypropylene,117.61,17.78,4,168.48,61.04,165.21508,7.28,Tablet,8.3,6.28,28.21,Polypropylene
Aluminum Alloy,89.13,26.19,7,540.07,63.93,116.011,9.82,Laptop,2.98,7.47,22.44,Aluminum Alloy
ABS Plastic,152.36,34.62,9,524.59,20.98,107.15288,5.52,Washing Machine,3.2,7.68,34.44,ABS Plastic
Polypropylene,297.96,49.77,6,297.15,56.45,229.31729,8.17,Tablet,6.46,4.73,64.38,Polypropylene
Polypropylene,252.55,50.17,7,176.52,28.99,177.73582,9.46,Air Conditioner,8.19,5.98,55.12,Polypropylene
Low Carbon Steel,370.23,3.08,10,132.62,18.51,269.82505000000003,11.42,Refrigerator,8.82,3.75,79.37,Low Carbon Steel
ABS Plastic,279.64,43.03,10,301.32,49.69,177.68937999999997,8.12,Washing Machine,6.4,5.98,61.7,ABS Plastic
Copper,281.28,18.67,1,405.97,78.97,166.89898,10.24,Air Conditioner,4.9,6.24,59.91,Copper
Lithium-ion Battery Material,116.77,26.55,3,443.34,56.6,122.05697,9.28,LED TV,4.36,7.32,26.82,Lithium-ion Battery Material
Copper,342.86,20.77,1,484.61,36.86,225.11435,6.1,Tablet,3.77,4.83,70.73,Copper
Carbon Fiber Composite,10.0,1.0,1,294.58,69.46,58.02563,8.3,Air Conditioner,6.5,8.87,5.68,Carbon Fiber Composite
Low Carbon Steel,297.27,15.7,2,212.16,45.87,220.80495,5.15,Tablet,7.68,4.94,62.97,Low Carbon Steel
Low Carbon Steel,219.29,12.44,1,50.0,58.57,210.9979,5.15,Laptop,10.0,5.17,47.92,Low Carbon Steel
Silicon,372.89,22.38,6,450.23,53.23,207.59005,7.07,Tablet,4.27,5.25,78.83,Silicon
Polypropylene,249.6,23.61,7,304.5,71.05,210.6352,13.92,Refrigerator,6.35,5.18,55.42,Polypropylene
Stainless Steel,293.34,22.41,7,234.64,39.99,213.21184,8.88,Washing Machine,7.35,5.12,63.44,Stainless Steel
Polypropylene,355.87,17.73,2,369.23,76.21,237.84663,4.74,Washing Machine,5.43,4.52,75.15,Polypropylene
Polypropylene,286.45,16.33,3,261.3,43.7,235.37162,6.73,Washing Machine,6.97,4.58,60.9,Polypropylene
Low Carbon Steel,338.19,6.28,10,425.48,48.85,227.72093,8.02,Tablet,4.62,4.77,73.03,Low Carbon Steel
Aluminum Alloy,333.26,16.04,4,274.6,71.14,213.92433,7.67,Smartphone,6.78,5.1,71.34,Aluminum Alloy
Stainless Steel,267.52,8.19,10,186.77,20.48,186.11558,8.06,Smartphone,8.04,5.77,58.73,Stainless Steel
Stainless Steel,292.42,27.27,4,256.1,72.97,201.61301,6.76,LED TV,7.05,5.4,63.28,Stainless Steel
Silicon,223.47,32.78,6,406.65,76.04,148.92194,10.31,Tablet,4.89,6.67,49.75,Silicon
Polypropylene,247.44,47.62,4,468.43,32.13,188.82558,9.26,Smartphone,4.0,5.71,52.45,Polypropylene
Copper,216.24,25.7,9,509.7,34.34,142.02258,2.44,Hair Dryer,3.41,6.84,47.66,Copper
Silicon,356.15,1.0,9,211.92,39.41,180.73664,7.0,Hair Dryer,7.68,5.9,76.65,Silicon
Lithium-ion Battery Material,539.77,45.45,2,392.15,54.32,295.45030999999994,9.53,Laptop,5.1,3.13,111.2,Lithium-ion Battery Material
Aluminum Alloy,128.1,6.33,5,367.47,44.22,113.97336,6.58,Washing Machine,5.45,7.52,29.54,Aluminum Alloy
Aluminum Alloy,205.96,18.83,1,381.22,42.19,179.30425000000002,5.84,LED TV,5.25,5.94,43.81,Aluminum Alloy
ABS Plastic,196.19,39.2,7,308.25,45.68,125.29502,8.84,Microwave Oven,6.3,7.24,43.97,ABS Plastic
Silicon,258.85,38.36,8,312.47,79.21,172.22007000000002,7.93,Smartphone,6.24,6.11,57.79,Silicon
ABS Plastic,192.07,33.89,3,282.41,40.52,148.32834000000005,9.47,LED TV,6.67,6.69,41.86,ABS Plastic
Polypropylene,219.72,16.41,6,448.57,30.83,172.52499999999998,7.54,Tablet,4.29,6.1,47.53,Polypropylene
Carbon Fiber Composite,469.43,23.76,1,289.91,53.25,260.41293,8.51,Hair Dryer,6.56,3.98,97.1,Carbon Fiber Composite
Low Carbon Steel,68.06,3.06,1,494.86,56.5,113.58751,1.0,LED TV,3.63,7.52,16.33,Low Carbon Steel
Low Carbon Steel,87.11,48.84,9,278.86,21.08,59.22943,7.73,Tablet,6.72,8.84,22.1,Low Carbon Steel
Lithium-ion Battery Material,115.13,48.89,1,349.29,40.71,107.13577999999998,6.16,Laptop,5.71,7.68,25.69,Lithium-ion Battery Material
Stainless Steel,102.54,18.56,2,104.83,74.3,172.51549,7.14,Air Conditioner,9.21,6.1,25.18,Stainless Steel
Glass,271.94,17.44,9,262.38,76.78,146.53975,6.44,Smartphone,6.96,6.73,60.78,Glass
Polypropylene,146.88,34.57,10,102.17,63.36,131.24477000000002,6.5,Washing Machine,9.25,7.1,36.13,Polypropylene
Copper,176.05,29.21,8,472.69,44.87,122.14698,8.36,LED TV,3.94,7.32,39.74,Copper
Aluminum Alloy,187.12,35.36,1,302.7,43.17,144.12558,8.01,LED TV,6.38,6.79,40.3,Aluminum Alloy
Lithium-ion Battery Material,198.54,34.13,5,396.06,35.25,128.16423,5.31,Electric Vehicle Battery Pack,5.04,7.17,43.27,Lithium-ion Battery Material
Copper,266.1,32.48,6,248.68,65.75,159.81558,8.39,Refrigerator,7.15,6.41,58.42,Copper
Copper,446.93,17.31,3,326.75,100.0,304.35957,7.1,Air Conditioner,6.03,2.92,94.49,Copper
Polypropylene,345.48,22.19,5,593.21,47.35,208.95733,7.42,Smartphone,2.22,5.22,72.46,Polypropylene
Silicon,168.94,12.09,5,335.28,49.5,151.48587,4.86,Washing Machine,5.91,6.61,37.96,Silicon
Low Carbon Steel,265.17,29.81,4,450.34,15.97,196.38286,11.12,Tablet,4.26,5.53,55.57,Low Carbon Steel
Aluminum Alloy,271.55,45.7,4,431.47,51.34,206.74222,7.47,Microwave Oven,4.53,5.28,57.96,Aluminum Alloy
Aluminum Alloy,204.48,20.85,8,199.24,43.9,115.90266,5.49,Microwave Oven,7.86,7.47,46.18,Aluminum Alloy
Low Carbon Steel,213.57,26.43,3,427.23,41.5,155.93434,7.78,Smartphone,4.6,6.5,45.78,Low Carbon Steel
Glass,296.59,20.75,8,225.16,54.93,192.56216,7.44,Refrigerator,7.49,5.62,64.86,Glass
Lithium-ion Battery Material,268.52,15.07,6,300.63,68.88,168.93733,8.09,Air Conditioner,6.41,6.19,58.85,Lithium-ion Battery Material
Silicon,294.07,18.23,1,156.59,52.91,194.63137,7.94,Air Conditioner,8.47,5.57,62.4,Silicon
Lithium-ion Battery Material,213.62,5.0,4,252.75,68.2,157.26081000000002,10.99,Hair Dryer,7.1,6.47,47.39,Lithium-ion Battery Material
Silicon,207.15,26.61,10,235.38,61.36,134.52377,7.34,Air Conditioner,7.34,7.02,47.74,Silicon
Low Carbon Steel,345.41,18.89,6,448.28,36.44,244.6897,7.63,Smartphone,4.29,4.36,72.83,Low Carbon Steel
Stainless Steel,242.41,32.51,3,152.65,79.48,129.04193999999998,11.21,Microwave Oven,8.53,7.15,53.47,Stainless Steel
Low Carbon Steel,236.81,27.65,6,237.85,41.27,202.0701,10.63,Hair Dryer,7.31,5.39,51.86,Low Carbon Steel
Stainless Steel,319.59,40.06,1,254.48,63.71,228.51432,7.6,Refrigerator,7.07,4.75,67.54,Stainless Steel
Low Carbon Steel,169.09,33.6,9,224.72,60.53,148.23346999999998,8.06,Microwave Oven,7.5,6.69,39.83,Low Carbon Steel
Aluminum Alloy,175.17,36.97,3,216.73,53.14,123.12747,8.02,Smartphone,7.61,7.29,39.05,Aluminum Alloy
Carbon Fiber Composite,286.56,3.53,4,346.58,42.26,207.76737,10.28,Electric Vehicle Battery Pack,5.75,5.25,60.93,Carbon Fiber Composite
Silicon,365.52,30.78,10,319.69,66.98,222.68744,9.32,Air Conditioner,6.14,4.89,79.34,Silicon
ABS Plastic,34.69,32.29,2,541.31,68.32,57.38529,4.89,Air Conditioner,2.96,8.88,10.18,ABS Plastic
Lithium-ion Battery Material,180.31,32.77,3,167.08,76.18,142.22242999999995,10.73,Refrigerator,8.32,6.83,40.91,Lithium-ion Battery Material
Glass,369.1,42.65,4,184.24,82.93,192.85238,10.58,Hair Dryer,8.08,5.61,79.12,Glass
Low Carbon Steel,349.76,2.32,4,380.25,32.84,246.65704,6.81,Washing Machine,5.27,4.31,73.19,Low Carbon Steel
Glass,184.92,13.22,6,336.47,14.7,102.42141,10.01,Microwave Oven,5.9,7.79,40.4,Glass
Aluminum Alloy,10.0,37.48,8,367.21,100.0,44.12169,10.7,Electric Vehicle Battery Pack,5.46,9.2,8.49,Aluminum Alloy
Carbon Fiber Composite,259.22,24.02,4,708.44,67.39,144.41896,4.68,Air Conditioner,0.57,6.78,55.18,Carbon Fiber Composite
Carbon Fiber Composite,391.14,21.7,7,280.89,49.04,248.04203,8.21,Smartphone,6.69,4.28,83.14,Carbon Fiber Composite
ABS Plastic,326.39,21.07,8,329.95,56.58,199.16755,6.12,Washing Machine,5.99,5.46,70.57,ABS Plastic
Low Carbon Steel,149.69,45.87,4,305.18,48.64,102.03925,6.19,Air Conditioner,6.34,7.8,33.87,Low Carbon Steel
Lithium-ion Battery Material,324.22,44.71,6,157.69,46.33,233.68092,10.12,Microwave Oven,8.46,4.62,69.73,Lithium-ion Battery Material
Copper,161.36,1.0,10,368.89,68.03,84.84389,11.42,Refrigerator,5.43,8.22,38.4,Copper
Low Carbon Steel,305.8,1.0,5,50.0,36.91,208.74165,11.57,Tablet,10.0,5.23,65.77,Low Carbon Steel
Carbon Fiber Composite,217.31,45.13,10,50.0,67.5,115.00518,8.05,LED TV,10.0,7.49,50.49,Carbon Fiber Composite
Glass,255.31,14.83,5,249.68,27.65,165.38619,6.12,Tablet,7.14,6.27,54.82,Glass
Low Carbon Steel,182.54,9.79,6,457.16,57.29,164.29155999999998,9.26,LED TV,4.17,6.3,40.86,Low Carbon Steel
Copper,443.87,17.08,9,502.96,62.91,271.23875,1.56,Hair Dryer,3.51,3.72,94.06,Copper
Aluminum Alloy,244.48,29.63,8,275.93,47.67,161.38667,9.94,Laptop,6.76,6.37,54.08,Aluminum Alloy
Polypropylene,299.11,17.96,8,529.75,61.05,166.75794000000002,3.41,Smartphone,3.13,6.24,64.68,Polypropylene
ABS Plastic,317.31,27.88,1,570.53,72.11,237.76404,10.05,Microwave Oven,2.54,4.53,66.43,ABS Plastic
Aluminum Alloy,294.36,19.3,2,539.75,83.1,204.0038,9.5,Laptop,2.98,5.34,62.56,Aluminum Alloy
Copper,188.05,7.17,2,598.32,39.37,153.45199,7.96,LED TV,2.14,6.56,39.82,Copper
Carbon Fiber Composite,351.85,37.96,6,284.57,82.14,242.52871,8.17,Hair Dryer,6.64,4.41,75.96,Carbon Fiber Composite
Silicon,187.37,45.62,6,353.95,35.7,107.85463,10.37,Laptop,5.65,7.66,41.48,Silicon
Silicon,105.88,33.64,6,270.07,82.25,91.80089999999998,7.39,LED TV,6.85,8.05,26.81,Silicon
Aluminum Alloy,312.85,28.02,7,314.83,89.79,161.46784000000002,13.01,Air Conditioner,6.21,6.37,68.61,Aluminum Alloy
Polypropylene,387.06,26.79,1,233.92,81.02,228.3461,3.93,Washing Machine,7.36,4.75,81.61,Polypropylene
Stainless Steel,187.17,1.0,2,349.03,16.47,136.45028999999997,5.29,Hair Dryer,5.72,6.97,39.67,Stainless Steel
Glass,446.98,21.49,5,429.54,64.89,243.33389000000005,7.82,Microwave Oven,4.56,4.39,93.75,Glass
Lithium-ion Battery Material,413.52,27.09,4,309.75,38.12,312.917,9.63,Tablet,6.28,2.71,86.3,Lithium-ion Battery Material
Stainless Steel,109.77,7.96,9,423.33,62.82,75.3317,10.67,Microwave Oven,4.65,8.45,27.47,Stainless Steel
Polypropylene,356.26,21.79,3,50.0,89.0,266.98826999999994,5.24,Microwave Oven,10.0,3.82,76.82,Polypropylene
Copper,406.99,18.82,3,312.66,33.34,254.64354,8.87,Tablet,6.24,4.12,84.55,Copper
Low Carbon Steel,185.73,8.28,1,50.0,9.51,151.71823,10.21,Hair Dryer,10.0,6.6,39.73,Low Carbon Steel
ABS Plastic,178.74,32.26,3,130.04,77.01,154.94344999999998,8.97,Smartphone,8.85,6.53,40.73,ABS Plastic
Silicon,434.75,15.17,10,143.32,23.97,323.7627,8.68,Tablet,8.66,2.45,92.4,Silicon
Copper,344.15,43.93,4,397.0,52.69,177.35622999999998,8.81,LED TV,5.03,5.98,72.62,Copper
Copper,230.64,21.14,3,341.63,35.06,184.58086,6.13,Tablet,5.82,5.81,49.24,Copper
Silicon,174.41,18.09,2,290.94,81.34,93.36395,9.19,Microwave Oven,6.55,8.01,39.23,Silicon
Aluminum Alloy,72.72,15.69,2,195.78,82.55,99.31552,8.58,Refrigerator,7.91,7.87,19.2,Aluminum Alloy
Carbon Fiber Composite,148.07,1.0,7,79.33,40.26,107.39602,8.67,Washing Machine,9.58,7.67,34.84,Carbon Fiber Composite
Copper,351.2,28.43,3,297.17,33.98,186.5589,6.54,Laptop,6.46,5.76,73.45,Copper
Glass,257.83,31.55,7,360.18,46.66,196.38406,8.49,Smartphone,5.56,5.53,56.18,Glass
Lithium-ion Battery Material,151.31,25.29,8,118.71,50.45,112.55706,9.98,Refrigerator,9.02,7.55,35.98,Lithium-ion Battery Material
Copper,268.62,16.23,5,667.86,55.24,143.23,11.97,Refrigerator,1.15,6.81,57.11,Copper
Copper,373.29,4.86,7,202.87,60.19,223.03756,10.8,Washing Machine,7.81,4.88,80.13,Copper
Low Carbon Steel,340.73,43.8,10,555.95,16.8,211.37572,6.98,Washing Machine,2.75,5.16,72.2,Low Carbon Steel
Lithium-ion Battery Material,312.67,27.74,8,174.86,59.72,167.54219,4.56,LED TV,8.21,6.22,68.37,Lithium-ion Battery Material
ABS Plastic,377.02,26.36,5,50.0,77.17,236.59227,2.5,LED TV,10.0,4.55,81.22,ABS Plastic
Lithium-ion Battery Material,130.45,13.38,8,408.24,34.16,116.20190999999998,8.75,Air Conditioner,4.87,7.46,30.49,Lithium-ion Battery Material
Stainless Steel,90.87,21.41,1,293.67,79.7,152.26168,8.1,Electric Vehicle Battery Pack,6.51,6.59,22.17,Stainless Steel
Silicon,387.93,20.4,5,67.67,38.82,250.77126,6.8,Electric Vehicle Battery Pack,9.75,4.21,82.2,Silicon
Polypropylene,179.5,19.86,5,474.04,62.47,151.03118,9.3,Air Conditioner,3.92,6.62,40.06,Polypropylene
Stainless Steel,370.25,14.4,10,490.79,40.07,239.61939,9.66,Washing Machine,3.68,4.48,78.99,Stainless Steel
ABS Plastic,173.81,9.99,7,220.96,68.53,123.49797,9.46,Washing Machine,7.55,7.29,40.43,ABS Plastic
Stainless Steel,247.69,23.6,9,335.09,33.36,132.39922,9.37,Electric Vehicle Battery Pack,5.92,7.07,54.42,Stainless Steel
Aluminum Alloy,383.72,8.23,3,530.88,79.87,254.99695,6.14,Microwave Oven,3.11,4.11,80.66,Aluminum Alloy
Copper,218.69,4.98,3,430.42,56.08,125.86945,10.62,Refrigerator,4.55,7.23,47.23,Copper
Lithium-ion Battery Material,337.75,43.33,8,540.99,43.42,235.65234,12.49,Air Conditioner,2.97,4.58,71.85,Lithium-ion Battery Material
Silicon,193.38,69.15,4,408.67,82.91,144.89494,12.74,Laptop,4.86,6.77,43.34,Silicon
Glass,326.29,20.93,4,230.41,54.65,222.32317,10.42,LED TV,7.42,4.9,69.58,Glass
Polypropylene,98.78,24.42,1,538.48,73.82,131.09728,7.49,Hair Dryer,3.0,7.1,22.87,Polypropylene
Low Carbon Steel,316.92,12.67,7,106.86,83.39,250.95141,6.2,Refrigerator,9.19,4.21,69.82,Low Carbon Steel
Aluminum Alloy,326.62,22.42,6,676.89,40.2,217.23646,5.43,Refrigerator,1.02,5.02,68.53,Aluminum Alloy
Copper,324.39,29.44,4,299.9,53.6,207.13422,6.42,LED TV,6.42,5.27,68.97,Copper
Silicon,57.08,19.96,1,353.79,68.91,67.70948,7.45,LED TV,5.65,8.63,14.91,Silicon
Polypropylene,207.11,50.92,7,229.6,44.89,109.19847,5.43,Smartphone,7.43,7.63,46.35,Polypropylene
Low Carbon Steel,225.91,50.01,7,415.57,34.05,156.43071999999998,10.6,Electric Vehicle Battery Pack,4.76,6.49,49.26,Low Carbon Steel
ABS Plastic,289.82,1.0,7,217.07,26.02,173.59862,9.21,Air Conditioner,7.61,6.08,62.37,ABS Plastic
Carbon Fiber Composite,151.31,10.52,1,55.38,13.93,154.28892,10.67,Smartphone,9.92,6.54,32.96,Carbon Fiber Composite
Stainless Steel,211.87,21.27,4,347.12,61.29,166.05452,7.37,Hair Dryer,5.74,6.26,46.56,Stainless Steel
Silicon,317.48,13.07,1,390.03,35.14,187.59453,8.24,Hair Dryer,5.13,5.74,65.88,Silicon
Carbon Fiber Composite,402.36,15.71,9,167.8,65.8,246.6801,14.55,Electric Vehicle Battery Pack,8.31,4.31,86.81,Carbon Fiber Composite
Polypropylene,197.59,30.72,2,504.83,66.48,132.40273,6.74,Electric Vehicle Battery Pack,3.48,7.07,42.81,Polypropylene
Silicon,172.29,37.24,10,141.21,50.26,128.41676,9.97,Hair Dryer,8.69,7.17,40.7,Silicon
Stainless Steel,279.7,17.43,5,319.16,59.05,220.41081000000003,8.33,Refrigerator,6.14,4.94,60.44,Stainless Steel
Stainless Steel,178.93,16.74,6,269.08,66.94,128.23438000000002,11.28,Tablet,6.86,7.17,40.97,Stainless Steel
Aluminum Alloy,251.71,13.44,9,515.16,5.0,171.62712,6.21,Air Conditioner,3.34,6.12,53.86,Aluminum Alloy
Silicon,320.13,7.99,9,454.38,65.8,234.40346,4.41,Washing Machine,4.21,4.61,69.54,Silicon
Glass,227.31,21.07,4,282.1,58.69,119.9983,6.42,Tablet,6.67,7.37,49.76,Glass
Silicon,248.55,42.43,1,417.36,35.23,180.99356,7.84,LED TV,4.74,5.9,52.01,Silicon
Lithium-ion Battery Material,81.31,17.13,8,359.32,29.32,63.71246,9.04,Washing Machine,5.57,8.73,20.66,Lithium-ion Battery Material
Stainless Steel,395.61,14.79,6,313.61,51.33,236.30782,8.69,Smartphone,6.22,4.56,83.71,Stainless Steel
ABS Plastic,332.83,32.66,7,61.4,65.15,176.015,6.27,Air Conditioner,9.84,6.02,72.59,ABS Plastic
Low Carbon Steel,160.12,12.68,7,380.63,47.4,181.17398,7.5,LED TV,5.26,5.89,36.6,Low Carbon Steel
Glass,352.45,43.89,10,605.63,59.11,202.69765,8.54,Microwave Oven,2.04,5.37,75.67,Glass
Polypropylene,204.86,20.15,8,244.91,67.43,191.23654,7.16,LED TV,7.21,5.65,46.84,Polypropylene
Silicon,178.19,16.88,8,435.25,94.58,148.45215000000002,6.73,Air Conditioner,4.48,6.68,41.77,Silicon
Lithium-ion Battery Material,181.67,45.48,6,291.51,72.87,128.06555999999998,8.05,Refrigerator,6.54,7.18,41.63,Lithium-ion Battery Material
Stainless Steel,139.06,42.16,5,160.34,21.51,89.27033,9.71,Microwave Oven,8.42,8.11,31.64,Stainless Steel
Aluminum Alloy,314.66,16.62,10,253.19,42.45,201.77388,7.32,Electric Vehicle Battery Pack,7.09,5.39,68.62,Aluminum Alloy
Glass,225.41,59.06,6,308.07,34.65,179.18923999999998,10.1,Tablet,6.3,5.94,49.18,Glass
Glass,386.94,28.95,2,482.31,62.88,194.20911,5.27,LED TV,3.81,5.58,80.64,Glass
Stainless Steel,214.72,59.19,2,195.68,62.5,178.43679999999998,8.07,Microwave Oven,7.91,5.96,47.0,Stainless Steel
Lithium-ion Battery Material,319.02,26.42,6,225.23,39.15,188.94961,7.14,LED TV,7.49,5.7,68.28,Lithium-ion Battery Material
Polypropylene,300.47,7.34,1,370.28,50.05,154.12909000000002,11.57,Smartphone,5.41,6.55,62.98,Polypropylene
Polypropylene,371.79,14.41,8,178.33,54.79,192.51487,9.06,Smartphone,8.16,5.62,80.03,Polypropylene
Low Carbon Steel,88.54,23.9,9,181.38,46.93,88.49412,10.03,LED TV,8.12,8.13,23.44,Low Carbon Steel
ABS Plastic,221.21,55.4,6,166.06,62.43,131.54456,5.5,Smartphone,8.34,7.09,49.58,ABS Plastic
ABS Plastic,185.7,18.53,7,50.0,48.78,129.25528,6.53,Microwave Oven,10.0,7.15,42.7,ABS Plastic
Stainless Steel,184.21,5.54,5,50.0,80.29,155.32701,5.99,Microwave Oven,10.0,6.52,42.75,Stainless Steel
Silicon,246.73,45.85,4,497.38,55.93,127.33049,11.86,Laptop,3.59,7.19,52.94,Silicon
Stainless Steel,278.72,2.23,4,374.49,74.43,160.66762,10.53,Electric Vehicle Battery Pack,5.35,6.39,60.25,Stainless Steel
Carbon Fiber Composite,454.68,37.83,1,339.64,54.69,247.55849,10.63,Tablet,5.85,4.29,94.05,Carbon Fiber Composite
Glass,302.28,34.71,9,147.92,36.53,171.09322999999998,10.67,Laptop,8.6,6.14,65.97,Glass
Stainless Steel,263.75,15.08,5,228.42,65.9,204.8432,7.77,Smartphone,7.44,5.32,57.72,Stainless Steel
Lithium-ion Battery Material,10.0,19.62,5,116.25,43.33,23.61756,10.35,Washing Machine,9.05,9.7,6.61,Lithium-ion Battery Material
Copper,224.21,2.63,9,256.08,75.55,131.21859,9.88,Tablet,7.05,7.1,51.22,Copper
Aluminum Alloy,453.45,24.36,10,50.0,40.25,274.46744,5.57,Microwave Oven,10.0,3.64,96.9,Aluminum Alloy
Carbon Fiber Composite,384.92,47.18,4,315.41,23.84,235.59185,7.89,Air Conditioner,6.2,4.58,80.14,Carbon Fiber Composite
Low Carbon Steel,229.08,34.66,1,384.29,54.36,200.14068,5.09,Air Conditioner,5.21,5.43,48.79,Low Carbon Steel
